"","plotid","npp_mc"
"150","TREE_050",0.89663430837828
"151","TREE_050",1.22671790263903
"152","TREE_050",1.37339759570948
"153","TREE_050",1.38288680383236
"154","TREE_050",1.4004170215392
"155","TREE_050",0.978223329459765
"156","TREE_050",1.2535769884506
"157","TREE_050",1.04611560908465
"158","TREE_050",1.29540260793632
"159","TREE_050",1.4696035229058
"160","TREE_050",1.25766278263683
"161","TREE_050",1.19139902716682
"162","TREE_050",0.999796396925984
"163","TREE_050",1.11729150985194
"164","TREE_050",1.12647455046313
"165","TREE_050",1.17395533912917
"166","TREE_050",1.56617889552051
"167","TREE_050",1.03828964958633
"168","TREE_050",1.44630135578807
"169","TREE_050",0.922340399260053
"170","TREE_050",1.5226643831613
"171","TREE_050",1.04213785477355
"172","TREE_050",1.1047770912117
"173","TREE_050",1.10719455329909
"174","TREE_050",1.16962161198189
"175","TREE_050",1.1756382729766
"176","TREE_050",1.13086575550362
"177","TREE_050",0.856344537492986
"178","TREE_050",1.23770301642512
"179","TREE_050",1.06317334003311
"180","TREE_050",1.28816176871056
"181","TREE_050",1.19671786211587
"182","TREE_050",1.45632998254822
"183","TREE_050",1.28622851901948
"184","TREE_050",1.07372255925026
"185","TREE_050",1.26140327576528
"186","TREE_050",1.06137841429077
"187","TREE_050",0.790043073123097
"188","TREE_050",1.13961327203709
"189","TREE_050",1.10904259471549
"190","TREE_050",1.08187810442377
"191","TREE_050",1.10302957928439
"192","TREE_050",1.17915574775266
"193","TREE_050",1.0867949465942
"194","TREE_050",1.49883390111558
"195","TREE_050",1.0413585721771
"196","TREE_050",1.17059328147884
"197","TREE_050",1.2817333206331
"198","TREE_050",1.06075110468597
"199","TREE_050",0.799262531176154
"200","TREE_050",1.4031988018367
"201","TREE_050",1.31413631861354
"202","TREE_050",1.32310236851872
"203","TREE_050",1.12059178503243
"204","TREE_050",1.15305268174438
"205","TREE_050",1.21340755598953
"206","TREE_050",1.18396344375226
"207","TREE_050",1.16091253333705
"208","TREE_050",1.29454175455085
"209","TREE_050",1.05992505309422
"210","TREE_050",0.988034885392216
"211","TREE_050",1.28152657286969
"212","TREE_050",1.19318259367006
"213","TREE_050",1.17129253664964
"214","TREE_050",1.02217793357718
"215","TREE_050",1.15383206965141
"216","TREE_050",1.2185171116886
"217","TREE_050",1.19043833440522
"218","TREE_050",0.896130500624228
"219","TREE_050",1.29367831716033
"220","TREE_050",1.01158907261924
"221","TREE_050",1.29075794205179
"222","TREE_050",0.807743768694764
"223","TREE_050",1.06647210939811
"224","TREE_050",1.32485371114688
"225","TREE_050",1.02126403565718
"226","TREE_050",1.115244202827
"227","TREE_050",1.22771892466075
"228","TREE_050",1.19379021241765
"229","TREE_050",1.28952183365258
"230","TREE_050",0.936250557849548
"231","TREE_050",1.42105252194976
"232","TREE_050",1.10077025773707
"233","TREE_050",0.99996600405654
"234","TREE_050",0.859953522884464
"235","TREE_050",1.09787874459278
"236","TREE_050",1.18872937849227
"237","TREE_050",1.27950597190259
"238","TREE_050",1.24058048798726
"239","TREE_050",1.09394362394097
"240","TREE_050",1.14229375371213
"241","TREE_050",1.16459109076929
"242","TREE_050",1.23713714805549
"243","TREE_050",1.17859250168003
"244","TREE_050",1.23945667260897
"245","TREE_050",1.35344671541459
"246","TREE_050",1.13406151439504
"247","TREE_050",1.07029212582615
"248","TREE_050",1.07952772805022
"249","TREE_050",1.10627870307273
"250","TREE_050",1.28246317718175
"251","TREE_050",1.46960769223785
"252","TREE_050",1.13270248001179
"253","TREE_050",1.08818355769538
"254","TREE_050",1.08633108384267
"255","TREE_050",1.16743855350602
"256","TREE_050",1.10326094726595
"257","TREE_050",1.33955390258437
"258","TREE_050",1.09829816300139
"259","TREE_050",1.30772970921729
"260","TREE_050",1.31231958740615
"261","TREE_050",1.06696025211528
"262","TREE_050",1.08895855368799
"263","TREE_050",1.43112120321504
"264","TREE_050",0.955715830555912
"265","TREE_050",1.15610036199763
"266","TREE_050",1.1410694674734
"267","TREE_050",1.34753654085267
"268","TREE_050",1.17871367401767
"269","TREE_050",1.00941871451931
"270","TREE_050",1.12378929092009
"271","TREE_050",1.19258731591069
"272","TREE_050",1.16776390848586
"273","TREE_050",0.976310570478562
"274","TREE_050",1.39364603946837
"275","TREE_050",1.19646416600616
"276","TREE_050",1.36242849076703
"277","TREE_050",1.35954519897579
"278","TREE_050",1.42822569092474
"279","TREE_050",1.31163150814998
"280","TREE_050",1.07872930191439
"281","TREE_050",1.17804807674803
"282","TREE_050",1.19071542567147
"283","TREE_050",1.35960685662808
"284","TREE_050",1.35695961190851
"285","TREE_050",1.25692489132125
"286","TREE_050",1.26650508991563
"287","TREE_050",1.20760865102248
"288","TREE_050",1.5844324886406
"289","TREE_050",1.45936790943176
"290","TREE_050",1.16488857048563
"291","TREE_050",1.27884510087831
"292","TREE_050",0.933753683959506
